defense_ranker,defense_name_display,defense_age,defense_team_name_abbr,defense_pos,defense_games,defense_games_started,defense_def_int,defense_def_targets,defense_def_cmp,defense_def_cmp_pct,defense_def_cmp_yds,defense_def_yds_per_cmp,defense_def_yds_per_target,defense_def_cmp_td,defense_def_pass_rating,defense_def_tgt_yds_per_att,defense_def_air_yds,defense_def_yac,defense_blitzes,defense_qb_hurry,defense_qb_knockdown,defense_def_batted_passes,defense_sacks,defense_pressures,defense_tackles_combined,defense_tackles_missed,defense_tackles_missed_pct,defense_awards
353.0,Carl Lawson,25.0,CIN,RDE,16.0,11.0,0.0,3.0,3.0,100.0,28.0,9.3,9.3,0.0,105.6,3.3,10.0,18.0,5.0,11.0,26.0,0.0,5.5,44.0,36.0,2.0,5.3,
354.0,Dean Lowry,26.0,GNB,LDE,16.0,16.0,0.0,1.0,1.0,100.0,-1.0,-1.0,-1.0,0.0,79.2,-2.0,-2.0,1.0,0.0,7.0,1.0,1.0,3.0,10.0,36.0,0.0,0.0,
355.0,Bradley McDougald,30.0,NYJ,SS,7.0,7.0,0.0,18.0,12.0,66.7,193.0,16.1,10.7,0.0,102.3,15.8,138.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,36.0,5.0,12.2,
356.0,Brent Urban,29.0,CHI,DT,16.0,8.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,4.0,1.0,1.0,2.5,8.0,36.0,1.0,2.7,
357.0,Olivier Vernon,30.0,CLE,RDE,14.0,13.0,0.0,5.0,3.0,60.0,28.0,9.3,5.6,0.0,75.4,1.0,5.0,23.0,7.0,12.0,7.0,2.0,9.0,28.0,36.0,6.0,14.3,
358.0,Azeez Al-Shaair,23.0,SFO,LLB,16.0,5.0,1.0,23.0,16.0,69.6,154.0,9.6,6.7,0.0,69.8,2.2,21.0,133.0,23.0,1.0,1.0,1.0,0.0,2.0,35.0,3.0,7.9,
359.0,Zach Allen,23.0,ARI,LDT,13.0,7.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,2.0,4.0,1.0,2.0,8.0,35.0,2.0,5.4,
360.0,Troy Apke,25.0,WAS,FS,16.0,7.0,0.0,24.0,12.0,50.0,225.0,18.8,9.4,2.0,110.6,21.6,170.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,35.0,4.0,10.3,
361.0,Cody Barton,24.0,SEA,LB,16.0,2.0,0.0,4.0,4.0,100.0,54.0,13.5,13.5,0.0,118.7,3.3,13.0,41.0,0.0,1.0,0.0,0.0,0.0,1.0,35.0,1.0,2.8,
362.0,Todd Davis,28.0,MIN,LB,11.0,6.0,0.0,22.0,17.0,77.3,214.0,12.6,9.7,1.0,122.2,4.6,74.0,140.0,16.0,0.0,0.0,0.0,1.0,1.0,35.0,5.0,12.5,
363.0,Rashad Fenton,23.0,KAN,DB,16.0,3.0,1.0,58.0,36.0,62.1,478.0,13.3,8.2,2.0,92.5,11.4,321.0,157.0,10.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0,5.4,
364.0,Rashan Gary,23.0,GNB,DE,15.0,4.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,23.0,8.0,5.0,1.0,5.0,19.0,35.0,1.0,2.8,
365.0,Will Harris,25.0,DET,SS,16.0,5.0,0.0,20.0,13.0,65.0,100.0,7.7,5.0,2.0,110.4,7.6,29.0,71.0,5.0,0.0,0.0,0.0,0.0,0.0,35.0,3.0,7.9,
366.0,Kevin Johnson,28.0,CLE,RCB,13.0,6.0,0.0,44.0,27.0,61.4,330.0,12.2,7.5,1.0,92.0,7.3,174.0,156.0,23.0,0.0,2.0,0.0,0.5,3.0,35.0,5.0,12.5,
367.0,Barkevious Mingo,30.0,CHI,LB,16.0,3.0,0.0,6.0,2.0,33.3,22.0,11.0,3.7,0.0,45.1,1.0,0.0,22.0,27.0,0.0,2.0,0.0,2.5,5.0,35.0,4.0,10.3,
368.0,A.J. Moore,25.0,HOU,DB,11.0,5.0,0.0,15.0,10.0,66.7,176.0,17.6,11.7,2.0,146.1,13.7,132.0,44.0,20.0,1.0,1.0,0.0,1.0,3.0,35.0,3.0,7.9,
369.0,Ifeadi Odenigbo,26.0,MIN,LDE/RDE,15.0,15.0,0.0,1.0,1.0,100.0,41.0,41.0,41.0,1.0,158.3,2.0,2.0,39.0,1.0,12.0,11.0,0.0,3.5,26.0,35.0,4.0,10.3,
370.0,John Penisini,23.0,DET,RDT,16.0,12.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,35.0,3.0,7.9,
371.0,Derek Barnett,24.0,PHI,LDE,13.0,10.0,0.0,3.0,2.0,66.7,3.0,1.5,1.0,0.0,70.1,-5.0,-9.0,12.0,1.0,5.0,10.0,0.0,5.5,21.0,34.0,3.0,8.1,
372.0,Tyus Bowser,25.0,BAL,LB,16.0,2.0,3.0,15.0,10.0,66.7,84.0,8.4,5.6,0.0,41.4,2.6,26.0,58.0,83.0,8.0,12.0,0.0,2.0,22.0,34.0,11.0,24.4,
373.0,Kris Boyd,24.0,MIN,DB,10.0,5.0,0.0,39.0,28.0,71.8,397.0,14.2,10.2,2.0,121.4,10.3,249.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,6.0,15.0,
374.0,Derrick Brown,22.0,CAR,RDT/LDT,16.0,15.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,7.0,10.0,3.0,2.0,19.0,34.0,5.0,12.8,
375.0,Adam Butler,26.0,NWE,DT,15.0,4.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,8.0,3.0,2.0,4.0,15.0,34.0,1.0,2.9,
