ranker,team,g,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att,red_zone_scores,red_zone_pct,season
1,Los Angeles Chargers,17,257,112,43.6%,29,15,51.7%,62,33,53.2%,2022
2,Pittsburgh Steelers,17,236,106,44.9%,15,11,73.3%,52,27,51.9%,2022
3,Dallas Cowboys,17,231,105,45.5%,19,10,52.6%,56,40,71.4%,2022
4,Philadelphia Eagles,17,222,102,45.9%,32,22,68.8%,59,40,67.8%,2022
5,Buffalo Bills,16,193,97,50.3%,13,7,53.8%,58,35,60.3%,2022
6,San Francisco 49ers,17,211,95,45.0%,17,7,41.2%,63,34,54.0%,2022
7,Cincinnati Bengals,16,206,95,46.1%,12,3,25.0%,57,37,64.9%,2022
8,Kansas City Chiefs,17,193,94,48.7%,12,9,75.0%,72,50,69.4%,2022
9,Minnesota Vikings,17,226,93,41.2%,19,9,47.4%,64,40,62.5%,2022
10,Tampa Bay Buccaneers,17,246,92,37.4%,27,15,55.6%,50,26,52.0%,2022
11,Baltimore Ravens,17,218,91,41.7%,20,8,40.0%,59,27,45.8%,2022
12,Chicago Bears,17,220,90,40.9%,25,8,32.0%,50,28,56.0%,2022
13,Jacksonville Jaguars,17,215,90,41.9%,27,14,51.9%,58,31,53.4%,2022
14,New Orleans Saints,17,219,88,40.2%,11,4,36.4%,48,25,52.1%,2022
15,Cleveland Browns,17,231,88,38.1%,42,23,54.8%,56,30,53.6%,2022
16,Detroit Lions,17,211,86,40.8%,37,20,54.1%,68,45,66.2%,2022
17,New York Jets,17,240,83,34.6%,28,11,39.3%,46,20,43.5%,2022
18,Los Angeles Rams,17,211,83,39.3%,19,15,78.9%,45,25,55.6%,2022
19,Las Vegas Raiders,17,208,83,39.9%,24,13,54.2%,48,23,47.9%,2022
20,Atlanta Falcons,17,196,82,41.8%,18,9,50.0%,54,30,55.6%,2022
21,Arizona Cardinals,17,233,82,35.2%,41,18,43.9%,44,25,56.8%,2022
22,Washington Commanders,17,230,81,35.2%,25,12,48.0%,47,24,51.1%,2022
23,Tennessee Titans,17,219,80,36.5%,17,9,52.9%,42,27,64.3%,2022
24,Green Bay Packers,17,200,79,39.5%,31,12,38.7%,54,28,51.9%,2022
25,New York Giants,17,212,78,36.8%,21,10,47.6%,49,31,63.3%,2022
26,Seattle Seahawks,17,201,76,37.8%,21,12,57.1%,55,26,47.3%,2022
27,Indianapolis Colts,17,228,75,32.9%,26,12,46.2%,48,22,45.8%,2022
28,New England Patriots,17,215,75,34.9%,13,5,38.5%,45,19,42.2%,2022
29,Miami Dolphins,17,196,71,36.2%,24,13,54.2%,50,30,60.0%,2022
30,Denver Broncos,17,230,67,29.1%,24,12,50.0%,36,20,55.6%,2022
31,Houston Texans,17,221,67,30.3%,26,13,50.0%,48,23,47.9%,2022
32,Carolina Panthers,17,202,64,31.7%,21,12,57.1%,46,26,56.5%,2022
