defense_ranker,defense_name_display,defense_age,defense_team_name_abbr,defense_pos,defense_games,defense_games_started,defense_def_int,defense_def_targets,defense_def_cmp,defense_def_cmp_pct,defense_def_cmp_yds,defense_def_yds_per_cmp,defense_def_yds_per_target,defense_def_cmp_td,defense_def_pass_rating,defense_def_tgt_yds_per_att,defense_def_air_yds,defense_def_yac,defense_blitzes,defense_qb_hurry,defense_qb_knockdown,defense_def_batted_passes,defense_sacks,defense_pressures,defense_tackles_combined,defense_tackles_missed,defense_tackles_missed_pct,defense_awards
1.0,Foyesade Oluokun,26.0,ATL,RILB,17.0,17.0,3.0,63.0,51.0,81.0,492.0,9.6,7.8,2.0,89.9,5.9,267.0,225.0,53.0,2.0,5.0,0.0,2.0,9.0,192.0,11.0,5.4,
2.0,Jordyn Brooks,24.0,SEA,ROLB,17.0,17.0,0.0,96.0,77.0,80.2,865.0,11.2,9.0,4.0,118.1,5.0,314.0,551.0,46.0,3.0,2.0,0.0,1.0,6.0,184.0,9.0,4.7,
3.0,Bobby Wagner,31.0,SEA,LILB,16.0,16.0,1.0,87.0,71.0,81.6,593.0,8.4,6.8,2.0,97.9,3.9,246.0,347.0,41.0,3.0,2.0,0.0,1.0,6.0,170.0,12.0,6.6,"PB,AP-2"
4.0,C.J. Mosley,29.0,NYJ,LLB,16.0,16.0,0.0,68.0,58.0,85.3,525.0,9.1,7.7,3.0,113.5,3.6,220.0,305.0,50.0,0.0,1.0,0.0,2.0,3.0,168.0,18.0,9.7,
5.0,Roquan Smith,24.0,CHI,RILB,17.0,17.0,1.0,66.0,47.0,71.2,343.0,7.3,5.2,0.0,76.8,2.5,68.0,275.0,44.0,5.0,0.0,0.0,3.0,8.0,163.0,6.0,3.6,AP-2
6.0,Denzel Perryman,29.0,LVR,MLB,15.0,15.0,0.0,80.0,63.0,78.8,511.0,8.1,6.4,5.0,114.1,5.4,316.0,195.0,14.0,0.0,3.0,0.0,0.0,3.0,154.0,15.0,8.9,PB
7.0,De'Vondre Campbell,28.0,GNB,RILB,16.0,16.0,2.0,73.0,52.0,71.2,356.0,6.8,4.9,1.0,74.9,3.3,153.0,203.0,43.0,1.0,4.0,1.0,2.0,7.0,146.0,4.0,2.7,AP-1
8.0,Kyzir White,25.0,LAC,LILB,17.0,17.0,2.0,59.0,45.0,76.3,358.0,8.0,6.1,2.0,88.1,2.7,111.0,247.0,31.0,2.0,3.0,0.0,1.0,6.0,144.0,8.0,5.3,
9.0,Eric Kendricks,29.0,MIN,MLB,15.0,15.0,2.0,58.0,43.0,74.1,485.0,11.3,8.4,3.0,101.6,5.9,214.0,271.0,67.0,2.0,0.0,0.0,5.0,7.0,143.0,15.0,9.5,
10.0,Cole Holcomb,25.0,WAS,LLB,16.0,16.0,2.0,81.0,60.0,74.1,579.0,9.7,7.1,3.0,95.7,5.7,262.0,317.0,52.0,4.0,1.0,0.0,1.0,6.0,142.0,12.0,7.8,
