ranker,team,g,rushtd,rectd,prtd,krtd,frtd,ditd,otd,alltd,two_pt_md,two_pt_att,def_two_pt,xpm,xpa,fgm,fga,safety_md,scoring,points_per_g,season
1,Buffalo Bills,17,20,36,,,,1.0,,57,3.0,6,,51,51,28,32,,483,28.4,2021
2,New England Patriots,17,24,24,,,,3.0,,51,3.0,4,,42,47,36,39,,462,27.2,2021
3,Denver Broncos,17,16,20,,,,1.0,,37,1.0,3,,33,34,26,31,,335,19.7,2021
4,New Orleans Saints,17,12,29,,,,2.0,,43,,5,,31,38,25,30,,364,21.4,2021
5,Tampa Bay Buccaneers,17,18,43,,,,2.0,,63,1.0,3,,56,59,25,31,,511,30.1,2021
6,Tennessee Titans,17,23,22,,,2.0,2.0,,49,2.0,2,,43,47,26,32,,419,24.6,2021
7,Dallas Cowboys,17,15,40,,1.0,1.0,5.0,2.0,64,6.0,10,,47,53,29,35,,530,31.2,2021
8,Kansas City Chiefs,17,16,37,,,2.0,2.0,,57,2.0,3,,50,53,28,32,,480,28.2,2021
9,San Francisco 49ers,17,22,26,,,,2.0,,50,2.0,3,,42,46,27,32,,427,25.1,2021
10,Indianapolis Colts,17,22,27,,,1.0,,2.0,52,2.0,5,,46,47,29,35,1.0,451,26.5,2021
11,Arizona Cardinals,17,23,27,,,1.0,1.0,,52,,3,,47,49,30,37,,449,26.4,2021
12,Seattle Seahawks,17,18,30,,1.0,,,,49,1.0,2,1.0,44,47,17,23,1.0,395,23.2,2021
13,Green Bay Packers,17,13,39,,,,2.0,,54,1.0,3,,49,51,25,34,,450,26.5,2021
14,Cleveland Browns,17,20,21,,,1.0,1.0,,43,3.0,4,,37,39,16,22,,349,20.5,2021
15,Los Angeles Rams,17,10,41,1.0,,,,,52,2.0,3,,48,49,32,34,,460,27.1,2021
16,Miami Dolphins,17,12,21,,,2.0,3.0,1.0,39,2.0,3,,34,35,23,31,,341,20.1,2021
17,Cincinnati Bengals,17,16,36,,,1.0,1.0,,54,1.0,5,,47,49,29,34,,460,27.1,2021
18,Philadelphia Eagles,17,25,20,,,3.0,2.0,,50,5.0,6,,44,44,30,33,,444,26.1,2021
19,Baltimore Ravens,17,18,21,,,1.0,1.0,,41,2.0,8,,32,32,35,37,,387,22.8,2021
20,Pittsburgh Steelers,17,10,23,,,,,1.0,34,2.0,5,,27,29,36,40,,343,20.2,2021
21,Carolina Panthers,17,17,14,,,,,1.0,32,3.0,4,,26,28,26,29,1.0,304,17.9,2021
22,Chicago Bears,17,14,16,1.0,,1.0,1.0,,33,3.0,4,,27,28,26,30,1.0,311,18.3,2021
23,New York Giants,17,8,15,,,,1.0,,24,4.0,5,,17,17,29,33,1.0,258,15.2,2021
24,Minnesota Vikings,17,10,34,,2.0,,2.0,,48,1.0,7,,36,40,33,38,,425,25.0,2021
25,Washington Football Team,17,13,21,,1.0,,2.0,,37,2.0,8,,25,29,28,33,,335,19.7,2021
26,Las Vegas Raiders,17,14,23,,,,,,37,,3,,30,33,40,43,1.0,374,22.0,2021
27,Houston Texans,17,8,21,,1.0,,1.0,,31,2.0,2,,25,29,21,27,1.0,280,16.5,2021
28,Jacksonville Jaguars,17,13,12,,1.0,1.0,,1.0,28,2.0,6,,18,22,21,27,,253,14.9,2021
29,Atlanta Falcons,17,11,20,,,,2.0,,33,1.0,3,,30,30,27,29,1.0,313,18.4,2021
30,Los Angeles Chargers,17,18,38,,1.0,1.0,,,58,7.0,11,,40,47,24,27,,474,27.9,2021
31,Detroit Lions,17,12,23,,,,,,35,5.0,6,,27,28,26,30,,325,19.1,2021
32,New York Jets,17,14,20,,1.0,,1.0,,36,4.0,9,,23,27,21,27,,310,18.2,2021
