receiving_ranker,receiving_name_display,receiving_age,receiving_team_name_abbr,receiving_pos,receiving_games,receiving_games_started,receiving_targets,receiving_rec,receiving_rec_yds,receiving_rec_first_down,receiving_rec_air_yds,receiving_rec_air_yds_per_rec,receiving_rec_yac,receiving_rec_yac_per_rec,receiving_rec_adot,receiving_rec_broken_tackles,receiving_rec_broken_tackles_per_rec,receiving_rec_drops,receiving_rec_drop_pct,receiving_rec_target_int,receiving_rec_pass_rating,receiving_awards
31.0,Tee Higgins,22.0,CIN,WR,14.0,14.0,110.0,74.0,1091.0,53.0,801.0,10.8,290.0,3.9,12.1,4.0,18.5,5.0,4.5,2.0,110.1,
32.0,Zach Ertz,31.0,2TM,TE,17.0,14.0,112.0,74.0,763.0,40.0,423.0,5.7,340.0,4.6,7.6,2.0,37.0,6.0,5.4,4.0,85.5,
32.0,Zach Ertz,31.0,PHI,TE,6.0,3.0,31.0,18.0,189.0,10.0,103.0,5.7,86.0,4.8,8.0,1.0,18.0,3.0,9.7,1.0,83.9,
32.0,Zach Ertz,31.0,ARI,TE,11.0,11.0,81.0,56.0,574.0,30.0,320.0,5.7,254.0,4.5,7.4,1.0,56.0,3.0,3.7,3.0,86.1,
33.0,Mike Gesicki,26.0,MIA,TE,17.0,9.0,112.0,73.0,780.0,39.0,559.0,7.7,221.0,3.0,9.3,1.0,73.0,3.0,2.7,3.0,80.2,
34.0,Marvin Jones,31.0,JAX,WR,17.0,16.0,120.0,73.0,832.0,42.0,700.0,9.6,132.0,1.8,11.9,0.0,,2.0,1.7,3.0,82.4,
35.0,Tyler Lockett,29.0,SEA,WR,16.0,16.0,107.0,73.0,1175.0,41.0,898.0,12.3,277.0,3.8,14.6,2.0,36.5,0.0,0.0,3.0,117.9,
36.0,George Kittle,28.0,SFO,TE,14.0,14.0,94.0,71.0,910.0,42.0,460.0,6.5,450.0,6.3,8.3,8.0,8.9,2.0,2.1,6.0,100.0,PB
37.0,Austin Ekeler,26.0,LAC,RB,16.0,16.0,94.0,70.0,647.0,31.0,19.0,0.3,628.0,9.0,1.8,6.0,11.7,7.0,7.4,2.0,112.3,
38.0,Leonard Fournette,26.0,TAM,RB,14.0,13.0,84.0,69.0,454.0,30.0,5.0,0.1,449.0,6.5,0.8,6.0,11.5,6.0,7.1,2.0,87.2,
39.0,Amari Cooper,27.0,DAL,WR,15.0,14.0,104.0,68.0,865.0,45.0,630.0,9.3,235.0,3.5,11.0,4.0,17.0,3.0,2.9,0.0,116.9,
40.0,Noah Fant,24.0,DEN,TE,16.0,16.0,90.0,68.0,670.0,29.0,361.0,5.3,309.0,4.5,6.1,1.0,68.0,2.0,2.2,0.0,110.9,
41.0,Kyle Pitts,21.0,ATL,TE,17.0,15.0,110.0,68.0,1026.0,43.0,713.0,10.5,313.0,4.6,10.8,3.0,22.7,6.0,5.5,5.0,76.6,PB
42.0,Tyler Boyd,27.0,CIN,WR,16.0,10.0,94.0,67.0,828.0,37.0,439.0,6.6,389.0,5.8,7.7,2.0,33.5,0.0,0.0,4.0,98.2,
43.0,Adam Thielen,31.0,MIN,WR,13.0,13.0,95.0,67.0,726.0,37.0,487.0,7.3,239.0,3.6,9.5,1.0,67.0,1.0,1.1,2.0,119.0,
44.0,Russell Gage,25.0,ATL,WR,14.0,9.0,94.0,66.0,770.0,37.0,516.0,7.8,254.0,3.8,9.3,5.0,13.2,5.0,5.3,5.0,86.7,
45.0,DeVonta Smith,23.0,PHI,WR,17.0,16.0,104.0,64.0,916.0,43.0,696.0,10.9,220.0,3.4,13.9,2.0,32.0,2.0,1.9,1.0,102.1,
46.0,A.J. Brown,24.0,TEN,WR,13.0,13.0,105.0,63.0,869.0,45.0,621.0,9.9,248.0,3.9,11.6,2.0,31.5,8.0,7.6,2.0,94.5,
47.0,Laviska Shenault Jr.,23.0,JAX,WR,16.0,10.0,100.0,63.0,619.0,30.0,230.0,3.7,389.0,6.2,5.5,10.0,6.3,8.0,8.0,2.0,72.0,
48.0,D'Andre Swift,22.0,DET,RB,13.0,4.0,78.0,62.0,452.0,18.0,-48.0,-0.8,500.0,8.1,0.0,8.0,7.8,6.0,7.7,2.0,88.7,
49.0,Tyler Conklin,26.0,MIN,TE,17.0,15.0,87.0,61.0,593.0,26.0,266.0,4.4,327.0,5.4,5.3,0.0,,3.0,3.4,0.0,100.4,
50.0,Tyler Higbee,28.0,LAR,TE,15.0,15.0,85.0,61.0,560.0,33.0,279.0,4.6,281.0,4.6,5.3,1.0,61.0,3.0,3.5,3.0,94.2,
51.0,T.J. Hockenson,24.0,DET,TE,12.0,12.0,84.0,61.0,583.0,32.0,384.0,6.3,199.0,3.3,7.4,4.0,15.3,1.0,1.2,3.0,92.5,
52.0,Pat Freiermuth,23.0,PIT,TE,16.0,9.0,79.0,60.0,497.0,34.0,250.0,4.2,247.0,4.1,5.3,8.0,7.5,2.0,2.5,0.0,121.1,
53.0,Cole Kmet,22.0,CHI,TE,17.0,17.0,93.0,60.0,612.0,29.0,366.0,6.1,246.0,4.1,7.8,4.0,15.0,5.0,5.4,2.0,74.3,
54.0,Chase Claypool,23.0,PIT,WR,15.0,13.0,105.0,59.0,860.0,35.0,577.0,9.8,283.0,4.8,11.4,4.0,14.8,5.0,4.8,3.0,77.5,
55.0,Mecole Hardman,23.0,KAN,WR,17.0,8.0,83.0,59.0,693.0,33.0,191.0,3.2,502.0,8.5,7.4,7.0,8.4,2.0,2.4,1.0,99.1,
56.0,Courtland Sutton,26.0,DEN,WR,17.0,16.0,98.0,58.0,776.0,35.0,641.0,11.1,135.0,2.3,15.4,1.0,58.0,3.0,3.1,3.0,78.4,
57.0,Brandon Aiyuk,23.0,SFO,WR,17.0,16.0,84.0,56.0,826.0,37.0,479.0,8.6,347.0,6.2,9.8,3.0,18.7,4.0,4.8,0.0,118.5,
58.0,Dallas Goedert,26.0,PHI,TE,15.0,14.0,76.0,56.0,830.0,42.0,444.0,7.9,386.0,6.9,8.5,9.0,6.2,5.0,6.6,1.0,121.1,
59.0,Kendrick Bourne,26.0,NWE,WR,17.0,5.0,70.0,55.0,800.0,27.0,415.0,7.5,385.0,7.0,8.5,5.0,11.0,2.0,2.9,1.0,132.1,
60.0,Rob Gronkowski,32.0,TAM,TE,12.0,12.0,89.0,55.0,802.0,34.0,452.0,8.2,350.0,6.4,10.1,9.0,6.1,5.0,5.6,0.0,113.6,
61.0,Darren Waller,29.0,LVR,TE,11.0,11.0,93.0,55.0,665.0,31.0,423.0,7.7,242.0,4.4,9.8,3.0,18.3,5.0,5.4,2.0,79.4,
62.0,A.J. Green,33.0,ARI,WR,16.0,9.0,92.0,54.0,848.0,37.0,667.0,12.4,181.0,3.4,12.2,5.0,10.8,5.0,5.4,2.0,91.2,
63.0,Josh Jacobs,23.0,LVR,RB,15.0,14.0,64.0,54.0,348.0,14.0,-43.0,-0.8,391.0,7.2,-0.4,9.0,6.0,5.0,7.8,1.0,82.8,
64.0,Rondale Moore,21.0,ARI,WR,14.0,7.0,64.0,54.0,435.0,18.0,-3.0,-0.1,438.0,8.1,1.4,2.0,27.0,1.0,1.6,2.0,87.2,
65.0,Robbie Chosen,28.0,CAR,WR,17.0,16.0,110.0,53.0,519.0,27.0,361.0,6.8,158.0,3.0,10.5,2.0,26.5,7.0,6.4,7.0,50.5,
66.0,Tim Patrick,28.0,DEN,WR,16.0,16.0,85.0,53.0,734.0,39.0,532.0,10.0,202.0,3.8,11.7,2.0,26.5,3.0,3.5,2.0,99.8,
67.0,Aaron Jones,27.0,GNB,RB,15.0,15.0,65.0,52.0,391.0,22.0,-21.0,-0.4,412.0,7.9,0.9,4.0,13.0,3.0,4.6,0.0,122.5,
68.0,Jarvis Landry,29.0,CLE,WR,12.0,12.0,87.0,52.0,570.0,30.0,297.0,5.7,273.0,5.3,7.9,3.0,17.3,2.0,2.3,5.0,62.9,
69.0,Cordarrelle Patterson,30.0,ATL,RB,16.0,13.0,69.0,52.0,548.0,26.0,163.0,3.1,385.0,7.4,2.9,7.0,7.4,1.0,1.4,1.0,116.1,
70.0,Jamison Crowder,28.0,NYJ,WR,12.0,4.0,71.0,51.0,447.0,24.0,271.0,5.3,176.0,3.5,6.2,0.0,,2.0,2.8,2.0,85.8,
71.0,Hunter Henry,27.0,NWE,TE,17.0,10.0,75.0,50.0,603.0,34.0,459.0,9.2,144.0,2.9,9.7,1.0,50.0,0.0,0.0,2.0,119.6,
72.0,Van Jefferson,25.0,LAR,WR,17.0,17.0,89.0,50.0,802.0,32.0,586.0,11.7,216.0,4.3,13.5,2.0,25.0,6.0,6.7,1.0,104.2,
73.0,K.J. Osborn,24.0,MIN,WR,17.0,9.0,82.0,50.0,655.0,26.0,476.0,9.5,179.0,3.6,10.5,1.0,50.0,2.0,2.4,3.0,99.4,
74.0,Myles Gaskin,24.0,MIA,RB,17.0,10.0,63.0,49.0,234.0,13.0,-16.0,-0.3,250.0,5.1,0.5,6.0,8.2,3.0,4.8,0.0,103.3,
75.0,Dawson Knox,25.0,BUF,TE,15.0,14.0,71.0,49.0,587.0,31.0,310.0,6.3,277.0,5.7,7.4,3.0,16.3,4.0,5.6,1.0,127.8,
76.0,C.J. Uzomah,28.0,CIN,TE,16.0,16.0,63.0,49.0,493.0,24.0,193.0,3.9,300.0,6.1,4.3,5.0,9.8,4.0,6.3,1.0,119.1,
77.0,Jared Cook,34.0,LAC,TE,16.0,10.0,83.0,48.0,564.0,31.0,326.0,6.8,238.0,5.0,8.3,0.0,,6.0,7.2,4.0,74.6,
78.0,Gerald Everett,27.0,SEA,TE,15.0,12.0,63.0,48.0,478.0,26.0,229.0,4.8,249.0,5.2,5.3,9.0,5.3,3.0,4.8,1.0,111.7,
79.0,Kalif Raymond,27.0,DET,WR,16.0,14.0,71.0,48.0,576.0,28.0,314.0,6.5,262.0,5.5,10.2,3.0,16.0,3.0,4.2,1.0,105.1,
80.0,Ezekiel Elliott,26.0,DAL,RB,17.0,17.0,65.0,47.0,287.0,17.0,9.0,0.2,278.0,5.9,0.5,3.0,15.7,3.0,4.6,1.0,84.6,
81.0,Zay Jones,26.0,LVR,WR,17.0,9.0,70.0,47.0,546.0,29.0,376.0,8.0,170.0,3.6,14.0,3.0,15.7,2.0,2.9,5.0,65.5,
82.0,Alvin Kamara,26.0,NOR,RB,13.0,10.0,67.0,47.0,439.0,20.0,7.0,0.1,432.0,9.2,1.2,3.0,15.7,9.0,13.4,0.0,112.7,PB
83.0,Darrel Williams,26.0,KAN,RB,17.0,7.0,57.0,47.0,452.0,19.0,17.0,0.4,435.0,9.3,1.4,4.0,11.8,1.0,1.8,0.0,111.4,
84.0,Rashod Bateman,22.0,BAL,WR,12.0,4.0,68.0,46.0,515.0,29.0,344.0,7.5,171.0,3.7,8.8,0.0,,2.0,2.9,3.0,76.5,
85.0,Braxton Berrios,26.0,NYJ,WR,16.0,1.0,65.0,46.0,431.0,21.0,189.0,4.1,242.0,5.3,5.1,1.0,46.0,0.0,0.0,1.0,92.5,AP-1
86.0,Marquez Callaway,23.0,NOR,WR,17.0,11.0,84.0,46.0,698.0,32.0,554.0,12.0,144.0,3.1,12.6,4.0,11.5,4.0,4.8,1.0,101.2,
87.0,Evan Engram,27.0,NYG,TE,15.0,12.0,73.0,46.0,408.0,21.0,225.0,4.9,183.0,4.0,5.0,0.0,,6.0,8.2,2.0,80.2,
88.0,Cedrick Wilson Jr.,26.0,DAL,WR,16.0,4.0,61.0,45.0,602.0,27.0,348.0,7.7,254.0,5.6,9.5,0.0,,3.0,4.9,1.0,130.6,
89.0,Robert Woods,29.0,LAR,WR,9.0,9.0,69.0,45.0,556.0,34.0,358.0,8.0,198.0,4.4,8.2,0.0,,3.0,4.3,1.0,103.3,
90.0,Mike Davis,28.0,ATL,RB,17.0,8.0,58.0,44.0,259.0,12.0,-47.0,-1.1,306.0,7.0,-0.9,10.0,4.4,2.0,3.4,0.0,89.7,
91.0,Odell Beckham Jr.,29.0,2TM,WR,14.0,13.0,82.0,44.0,537.0,27.0,386.0,8.8,151.0,3.4,13.3,1.0,44.0,2.0,2.4,3.0,79.2,
91.0,Odell Beckham Jr.,29.0,CLE,WR,6.0,6.0,34.0,17.0,232.0,11.0,184.0,10.8,48.0,2.8,13.9,1.0,17.0,2.0,5.9,0.0,72.2,
91.0,Odell Beckham Jr.,29.0,LAR,WR,8.0,7.0,48.0,27.0,305.0,16.0,202.0,7.5,103.0,3.8,12.9,0.0,,0.0,0.0,3.0,84.1,
92.0,Chase Edmonds,25.0,ARI,RB,12.0,11.0,53.0,43.0,311.0,11.0,-13.0,-0.3,324.0,7.5,0.6,2.0,21.5,3.0,5.7,0.0,91.1,
93.0,J.D. McKissic,28.0,WAS,RB,11.0,3.0,53.0,43.0,397.0,15.0,17.0,0.4,380.0,8.8,0.5,0.0,,0.0,0.0,1.0,102.6,
94.0,Elijah Moore,21.0,NYJ,WR,11.0,6.0,77.0,43.0,538.0,24.0,331.0,7.7,207.0,4.8,11.7,2.0,21.5,1.0,1.3,4.0,77.7,
95.0,Quez Watkins,23.0,PHI,WR,17.0,12.0,62.0,43.0,647.0,25.0,394.0,9.2,253.0,5.9,12.0,5.0,8.6,1.0,1.6,3.0,88.6,
96.0,Javonte Williams,21.0,DEN,RB,17.0,1.0,53.0,43.0,316.0,12.0,-27.0,-0.6,343.0,8.0,-0.2,2.0,21.5,3.0,5.7,0.0,110.4,
97.0,Antonio Brown,33.0,TAM,WR,7.0,3.0,62.0,42.0,545.0,29.0,355.0,8.5,190.0,4.5,11.8,2.0,21.0,2.0,3.2,1.0,109.9,
98.0,Antonio Gibson,23.0,WAS,RB,16.0,14.0,52.0,42.0,294.0,12.0,-39.0,-0.9,333.0,7.9,-0.2,4.0,10.5,6.0,11.5,0.0,109.5,
99.0,DeAndre Hopkins,29.0,ARI,WR,10.0,10.0,64.0,42.0,572.0,32.0,432.0,10.3,140.0,3.3,12.3,0.0,,1.0,1.6,0.0,133.6,
100.0,Joe Mixon,25.0,CIN,RB,16.0,16.0,48.0,42.0,314.0,11.0,-4.0,-0.1,318.0,7.6,-0.2,3.0,14.0,2.0,4.2,0.0,114.8,PB
101.0,David Montgomery,24.0,CHI,RB,13.0,13.0,51.0,42.0,301.0,18.0,28.0,0.7,273.0,6.5,0.9,3.0,14.0,2.0,3.9,1.0,83.1,
102.0,Byron Pringle,28.0,KAN,WR,17.0,5.0,60.0,42.0,568.0,32.0,381.0,9.1,187.0,4.5,10.7,4.0,10.5,4.0,6.7,0.0,127.6,
103.0,Emmanuel Sanders,34.0,BUF,WR,14.0,13.0,72.0,42.0,626.0,31.0,541.0,12.9,85.0,2.0,15.0,0.0,,3.0,4.2,1.0,99.7,
104.0,Saquon Barkley,24.0,NYG,RB,13.0,13.0,57.0,41.0,263.0,13.0,-35.0,-0.9,298.0,7.3,0.5,4.0,10.3,6.0,10.5,0.0,92.9,
105.0,Brandon Bolden,31.0,NWE,RB,17.0,1.0,49.0,41.0,405.0,21.0,-11.0,-0.3,416.0,10.1,0.3,10.0,4.1,2.0,4.1,1.0,106.2,
106.0,Adam Humphries,28.0,WAS,WR,17.0,11.0,62.0,41.0,383.0,23.0,233.0,5.7,150.0,3.7,6.7,2.0,20.5,3.0,4.8,2.0,69.5,
107.0,Devontae Booker,29.0,NYG,RB,16.0,4.0,45.0,40.0,268.0,11.0,-21.0,-0.5,289.0,7.2,-0.1,0.0,,2.0,4.4,0.0,98.9,
108.0,Nyheim Hines,25.0,IND,RB,17.0,4.0,57.0,40.0,310.0,15.0,34.0,0.9,276.0,6.9,2.0,2.0,20.0,2.0,3.5,0.0,89.1,
109.0,Allen Lazard,26.0,GNB,WR,15.0,13.0,60.0,40.0,513.0,28.0,345.0,8.6,168.0,4.2,10.9,1.0,40.0,1.0,1.7,0.0,132.8,
110.0,DeVante Parker,28.0,MIA,WR,10.0,8.0,73.0,40.0,515.0,29.0,411.0,10.3,104.0,2.6,11.5,2.0,20.0,4.0,5.5,0.0,86.3,
111.0,Devin Singletary,24.0,BUF,RB,17.0,16.0,50.0,40.0,228.0,11.0,-13.0,-0.3,241.0,6.0,0.2,4.0,10.0,5.0,10.0,1.0,84.0,
112.0,Jonathan Taylor,22.0,IND,RB,17.0,17.0,51.0,40.0,360.0,12.0,-46.0,-1.2,406.0,10.2,-0.9,2.0,20.0,5.0,9.8,0.0,109.2,"PB,AP-1,AP OPoY-2"
113.0,Ray-Ray McCloud,25.0,PIT,WR,16.0,5.0,66.0,39.0,277.0,18.0,167.0,4.3,110.0,2.8,6.4,2.0,19.5,6.0,9.1,2.0,56.2,
114.0,Tony Pollard,24.0,DAL,RB,15.0,0.0,46.0,39.0,337.0,15.0,-4.0,-0.1,341.0,8.7,0.2,4.0,9.8,3.0,6.5,0.0,97.2,
115.0,Kadarius Toney,22.0,NYG,WR,10.0,4.0,57.0,39.0,420.0,21.0,192.0,4.9,228.0,5.8,5.9,2.0,19.5,2.0,3.5,1.0,82.5,
116.0,Austin Hooper,27.0,CLE,TE,16.0,16.0,61.0,38.0,345.0,18.0,160.0,4.2,185.0,4.9,5.4,1.0,38.0,6.0,9.8,1.0,87.1,
117.0,Jerry Jeudy,22.0,DEN,WR,10.0,5.0,56.0,38.0,467.0,22.0,280.0,7.4,187.0,4.9,10.5,0.0,,1.0,1.8,1.0,85.9,
118.0,Zach Pascal,27.0,IND,WR,16.0,13.0,69.0,38.0,384.0,16.0,263.0,6.9,121.0,3.2,8.8,1.0,38.0,4.0,5.8,1.0,79.6,
119.0,Allen Robinson,28.0,CHI,WR,12.0,11.0,66.0,38.0,410.0,22.0,309.0,8.1,101.0,2.7,11.0,1.0,38.0,2.0,3.0,4.0,55.7,
120.0,Nick Westbrook-Ikhine,24.0,TEN,WR,16.0,7.0,57.0,38.0,476.0,23.0,332.0,8.7,144.0,3.8,10.5,1.0,38.0,2.0,3.5,0.0,115.8,
121.0,Ameer Abdullah,28.0,2TM,RB,17.0,1.0,53.0,38.0,289.0,13.0,-5.0,-0.1,294.0,7.7,0.8,5.0,7.6,2.0,3.8,1.0,83.0,
121.0,Ameer Abdullah,28.0,MIN,RB,6.0,0.0,4.0,3.0,17.0,1.0,-2.0,-0.7,19.0,6.3,0.5,0.0,,0.0,0.0,0.0,82.3,
121.0,Ameer Abdullah,28.0,CAR,RB,11.0,1.0,49.0,35.0,272.0,12.0,-3.0,-0.1,275.0,7.9,0.8,5.0,7.0,2.0,4.1,1.0,83.0,
122.0,Nelson Agholor,28.0,NWE,WR,15.0,13.0,64.0,37.0,473.0,23.0,355.0,9.6,118.0,3.2,14.2,2.0,18.5,1.0,1.6,3.0,77.1,
123.0,James Conner,26.0,ARI,RB,15.0,6.0,39.0,37.0,375.0,18.0,2.0,0.1,373.0,10.1,0.3,6.0,6.2,0.0,0.0,0.0,132.4,PB
124.0,Kenny Golladay,28.0,NYG,WR,14.0,14.0,76.0,37.0,521.0,27.0,402.0,10.9,119.0,3.2,13.7,3.0,12.3,1.0,1.3,3.0,54.8,
125.0,Christian McCaffrey,25.0,CAR,RB,7.0,7.0,41.0,37.0,343.0,21.0,85.0,2.3,258.0,7.0,2.2,6.0,6.2,0.0,0.0,0.0,109.7,
126.0,Michael Carter,22.0,NYJ,RB,14.0,11.0,55.0,36.0,325.0,16.0,-16.0,-0.4,341.0,9.5,0.6,7.0,5.1,4.0,7.3,1.0,73.7,
127.0,Deonte Harty,24.0,NOR,WR,13.0,1.0,59.0,36.0,570.0,23.0,329.0,9.1,241.0,6.7,10.0,4.0,9.0,3.0,5.1,6.0,70.6,
128.0,Tyler Johnson,23.0,TAM,WR,17.0,3.0,55.0,36.0,360.0,14.0,223.0,6.2,137.0,3.8,7.9,2.0,18.0,4.0,7.3,0.0,83.9,
129.0,David Njoku,25.0,CLE,TE,16.0,11.0,53.0,36.0,475.0,17.0,228.0,6.3,247.0,6.9,8.2,2.0,18.0,2.0,3.8,1.0,113.3,
130.0,Sterling Shepard,28.0,NYG,WR,7.0,6.0,53.0,36.0,366.0,19.0,255.0,7.1,111.0,3.1,7.6,1.0,36.0,4.0,7.5,4.0,62.3,
131.0,Gabriel Davis,22.0,BUF,WR,16.0,4.0,63.0,35.0,549.0,29.0,409.0,11.7,140.0,4.0,13.3,1.0,35.0,5.0,7.9,2.0,103.2,
132.0,Michael Gallup,25.0,DAL,WR,9.0,8.0,62.0,35.0,445.0,23.0,322.0,9.2,123.0,3.5,11.5,1.0,35.0,3.0,4.8,0.0,89.8,
