receiving_ranker,receiving_name_display,receiving_age,receiving_team_name_abbr,receiving_pos,receiving_games,receiving_games_started,receiving_targets,receiving_rec,receiving_rec_yds,receiving_rec_first_down,receiving_rec_air_yds,receiving_rec_air_yds_per_rec,receiving_rec_yac,receiving_rec_yac_per_rec,receiving_rec_adot,receiving_rec_broken_tackles,receiving_rec_broken_tackles_per_rec,receiving_rec_drops,receiving_rec_drop_pct,receiving_rec_target_int,receiving_rec_pass_rating,receiving_awards
133.0,Dan Arnold,26.0,2TM,WR,11.0,4.0,52.0,35.0,408.0,20.0,220.0,6.3,188.0,5.4,6.5,2.0,17.5,2.0,3.8,0.0,90.9,
133.0,Dan Arnold,26.0,CAR,WR,3.0,1.0,11.0,7.0,84.0,3.0,55.0,7.9,29.0,4.1,9.2,0.0,,0.0,0.0,0.0,86.9,
133.0,Dan Arnold,26.0,JAX,WR,8.0,3.0,41.0,28.0,324.0,17.0,165.0,5.9,159.0,5.7,5.8,2.0,14.0,2.0,4.9,0.0,91.9,
134.0,Dalvin Cook,26.0,MIN,RB,13.0,13.0,49.0,34.0,224.0,9.0,-54.0,-1.6,278.0,8.2,-1.6,3.0,11.3,6.0,12.2,0.0,79.0,PB
135.0,Corey Davis,26.0,NYJ,WR,9.0,9.0,59.0,34.0,492.0,23.0,368.0,10.8,124.0,3.6,13.1,2.0,17.0,5.0,8.5,5.0,72.1,
136.0,AJ Dillon,23.0,GNB,RB,17.0,2.0,37.0,34.0,313.0,15.0,3.0,0.1,310.0,9.1,0.4,5.0,6.8,0.0,0.0,0.0,119.9,
137.0,Bryan Edwards,23.0,LVR,WR,16.0,12.0,59.0,34.0,571.0,26.0,381.0,11.2,190.0,5.6,14.0,6.0,5.7,1.0,1.7,0.0,107.4,
138.0,Anthony Firkser,26.0,TEN,FB,15.0,1.0,43.0,34.0,291.0,15.0,180.0,5.3,111.0,3.3,5.8,0.0,,3.0,7.0,2.0,91.0,
139.0,Devonta Freeman,29.0,BAL,RB,16.0,8.0,42.0,34.0,190.0,9.0,12.0,0.4,178.0,5.2,1.0,4.0,8.5,1.0,2.4,0.0,93.5,
140.0,Ty Johnson,24.0,NYJ,RB,16.0,3.0,55.0,34.0,372.0,20.0,38.0,1.1,334.0,9.8,2.4,3.0,11.3,7.0,12.7,1.0,86.3,
141.0,Donovan Peoples-Jones,22.0,CLE,WR,14.0,9.0,58.0,34.0,597.0,26.0,451.0,13.3,146.0,4.3,15.4,4.0,8.5,3.0,5.2,3.0,89.5,
142.0,Durham Smythe,26.0,MIA,TE,17.0,12.0,41.0,34.0,357.0,15.0,197.0,5.8,160.0,4.7,6.4,0.0,,1.0,2.4,1.0,92.8,
143.0,Nico Collins,22.0,HOU,WR,14.0,8.0,60.0,33.0,446.0,22.0,313.0,9.5,133.0,4.0,10.6,0.0,,1.0,1.7,1.0,77.5,
144.0,Devin Duvernay,24.0,BAL,WR,16.0,7.0,47.0,33.0,272.0,14.0,131.0,4.0,141.0,4.3,6.0,1.0,33.0,0.0,0.0,0.0,98.9,"PB,AP-1"
145.0,Kenneth Gainwell,22.0,PHI,RB,16.0,1.0,50.0,33.0,253.0,14.0,27.0,0.8,226.0,6.8,1.9,1.0,33.0,5.0,10.0,0.0,84.8,
146.0,Albert Okwuegbunam,23.0,DEN,TE,14.0,6.0,40.0,33.0,330.0,15.0,85.0,2.6,245.0,7.4,5.7,3.0,11.0,2.0,5.0,0.0,117.7,
147.0,Josh Palmer,22.0,LAC,WR,17.0,5.0,49.0,33.0,353.0,18.0,259.0,7.8,94.0,2.8,10.1,1.0,33.0,1.0,2.0,2.0,98.4,
148.0,Jalen Reagor,22.0,PHI,WR,17.0,13.0,57.0,33.0,299.0,13.0,148.0,4.5,151.0,4.6,9.6,1.0,33.0,4.0,7.0,2.0,69.3,
149.0,Laquon Treadwell,26.0,JAX,WR,12.0,7.0,51.0,33.0,434.0,22.0,308.0,9.3,126.0,3.8,11.9,3.0,11.0,3.0,5.9,1.0,89.8,
150.0,David Johnson,30.0,HOU,RB,13.0,4.0,42.0,32.0,225.0,11.0,34.0,1.1,191.0,6.0,2.3,1.0,32.0,1.0,2.4,1.0,85.9,
151.0,Alexander Mattison,23.0,MIN,RB,16.0,4.0,39.0,32.0,228.0,10.0,-10.0,-0.3,238.0,7.4,0.1,8.0,4.0,1.0,2.6,0.0,99.6,
152.0,Tre'Quan Smith,25.0,NOR,WR,11.0,6.0,50.0,32.0,377.0,18.0,264.0,8.3,113.0,3.5,9.6,2.0,16.0,2.0,4.0,1.0,98.5,
153.0,Jalen Guyton,24.0,LAC,WR,16.0,2.0,48.0,31.0,448.0,21.0,299.0,9.6,149.0,4.8,10.5,2.0,15.5,4.0,8.3,0.0,115.6,
154.0,Julio Jones,32.0,TEN,WR,10.0,10.0,48.0,31.0,434.0,19.0,322.0,10.4,112.0,3.6,12.1,4.0,7.8,1.0,2.1,2.0,83.2,
155.0,Calvin Ridley,27.0,ATL,WR,5.0,5.0,52.0,31.0,281.0,16.0,190.0,6.1,91.0,2.9,10.0,1.0,31.0,3.0,5.8,1.0,79.1,
156.0,James Robinson,23.0,JAX,RB,14.0,13.0,46.0,31.0,222.0,9.0,-8.0,-0.3,230.0,7.4,0.9,2.0,15.5,4.0,8.7,0.0,78.4,
157.0,Geoff Swaim,28.0,TEN,TE,16.0,16.0,40.0,31.0,210.0,12.0,71.0,2.3,139.0,4.5,3.7,0.0,,1.0,2.5,0.0,113.5,
158.0,Olamide Zaccheaus,24.0,ATL,WR,17.0,8.0,53.0,31.0,406.0,22.0,312.0,10.1,94.0,3.0,9.0,0.0,,2.0,3.8,2.0,85.9,
159.0,Cameron Brate,30.0,TAM,TE,17.0,3.0,57.0,30.0,245.0,15.0,164.0,5.5,81.0,2.7,7.6,0.0,,3.0,5.3,0.0,87.2,
160.0,Kenyan Drake,27.0,LVR,RB,12.0,2.0,40.0,30.0,291.0,12.0,32.0,1.1,259.0,8.6,1.8,5.0,6.0,0.0,0.0,0.0,103.2,
161.0,Kyle Juszczyk,30.0,SFO,FB,17.0,16.0,38.0,30.0,296.0,16.0,145.0,4.8,151.0,5.0,7.2,3.0,10.0,0.0,0.0,0.0,107.9,PB
162.0,Foster Moreau,24.0,LVR,TE,17.0,11.0,44.0,30.0,373.0,16.0,184.0,6.1,189.0,6.3,7.4,2.0,15.0,4.0,9.1,2.0,98.0,
163.0,Chester Rogers,27.0,TEN,WR,16.0,2.0,43.0,30.0,301.0,12.0,198.0,6.6,103.0,3.4,7.5,0.0,,2.0,4.7,1.0,87.5,
164.0,Ricky Seals-Jones,26.0,WAS,TE,13.0,6.0,49.0,30.0,271.0,14.0,114.0,3.8,157.0,5.2,5.4,2.0,15.0,4.0,8.2,0.0,89.8,
165.0,Jack Doyle,31.0,IND,TE,17.0,14.0,43.0,29.0,302.0,18.0,177.0,6.1,125.0,4.3,6.8,0.0,,4.0,9.3,2.0,91.4,
166.0,Darrell Henderson,24.0,LAR,RB,12.0,10.0,40.0,29.0,176.0,8.0,-4.0,-0.1,180.0,6.2,0.9,2.0,14.5,3.0,7.5,0.0,105.8,
167.0,Josh Reynolds,26.0,2TM,WR,12.0,5.0,49.0,29.0,396.0,21.0,277.0,9.6,119.0,4.1,13.6,2.0,14.5,1.0,2.0,1.0,90.2,
167.0,Josh Reynolds,26.0,TEN,WR,5.0,0.0,13.0,10.0,90.0,6.0,49.0,4.9,41.0,4.1,11.1,0.0,,0.0,0.0,0.0,95.0,
167.0,Josh Reynolds,26.0,DET,WR,7.0,5.0,36.0,19.0,306.0,15.0,228.0,12.0,78.0,4.1,14.6,2.0,9.5,1.0,2.8,1.0,88.4,
168.0,Randall Cobb,31.0,GNB,WR,12.0,3.0,39.0,28.0,375.0,21.0,237.0,8.5,138.0,4.9,7.9,1.0,28.0,2.0,5.1,0.0,141.6,
169.0,Keelan Cole,28.0,NYJ,WR,15.0,11.0,51.0,28.0,449.0,20.0,364.0,13.0,85.0,3.0,13.5,0.0,,1.0,2.0,4.0,58.4,
170.0,Melvin Gordon,28.0,DEN,RB,16.0,16.0,38.0,28.0,213.0,9.0,27.0,1.0,186.0,6.6,0.3,4.0,7.0,3.0,7.9,0.0,104.4,
171.0,Jeremy McNichols,26.0,TEN,RB,14.0,0.0,38.0,28.0,240.0,11.0,-8.0,-0.3,248.0,8.9,0.1,0.0,,2.0,5.3,0.0,98.6,
172.0,Jonnu Smith,26.0,NWE,TE,16.0,11.0,45.0,28.0,294.0,15.0,62.0,2.2,232.0,8.3,5.5,2.0,14.0,4.0,8.9,2.0,70.0,
173.0,Ryan Griffin,31.0,NYJ,TE,14.0,12.0,42.0,27.0,261.0,14.0,112.0,4.1,149.0,5.5,5.3,0.0,,3.0,7.1,2.0,77.6,
174.0,Samaje Perine,26.0,CIN,RB,16.0,0.0,31.0,27.0,196.0,9.0,-2.0,-0.1,198.0,7.3,0.2,2.0,13.5,1.0,3.2,0.0,103.8,
175.0,Adam Trautman,24.0,NOR,TE,13.0,10.0,43.0,27.0,263.0,13.0,152.0,5.6,111.0,4.1,5.7,0.0,,4.0,9.3,1.0,85.7,
176.0,Sammy Watkins,28.0,BAL,WR,13.0,9.0,49.0,27.0,394.0,17.0,300.0,11.1,94.0,3.5,13.1,0.0,,6.0,12.2,1.0,79.8,
177.0,Mark Ingram,32.0,2TM,RB,14.0,10.0,35.0,27.0,162.0,9.0,-2.0,-0.1,164.0,6.1,0.0,2.0,13.5,0.0,0.0,0.0,85.7,
177.0,Mark Ingram,32.0,HOU,RB,7.0,7.0,9.0,7.0,24.0,1.0,-7.0,-1.0,31.0,4.4,2.1,0.0,,0.0,0.0,0.0,79.2,
177.0,Mark Ingram,32.0,NOR,RB,7.0,3.0,26.0,20.0,138.0,8.0,5.0,0.3,133.0,6.7,-0.8,2.0,10.0,0.0,0.0,0.0,88.3,
178.0,Damiere Byrd,28.0,CHI,WR,17.0,4.0,38.0,26.0,329.0,18.0,213.0,8.2,116.0,4.5,8.6,1.0,26.0,2.0,5.3,2.0,82.0,
179.0,Hayden Hurst,28.0,ATL,TE,13.0,5.0,31.0,26.0,221.0,11.0,132.0,5.1,89.0,3.4,6.6,2.0,13.0,0.0,0.0,1.0,115.2,
180.0,Kyle Rudolph,32.0,NYG,TE,16.0,13.0,39.0,26.0,257.0,12.0,120.0,4.6,137.0,5.3,5.9,1.0,26.0,0.0,0.0,0.0,93.6,
181.0,Miles Sanders,24.0,PHI,RB,12.0,12.0,34.0,26.0,158.0,6.0,-69.0,-2.7,227.0,8.7,-0.5,6.0,4.3,1.0,2.9,0.0,85.2,
182.0,Darius Slayton,24.0,NYG,WR,13.0,5.0,58.0,26.0,339.0,14.0,274.0,10.5,65.0,2.5,13.3,1.0,26.0,6.0,10.3,3.0,53.7,
183.0,Marquez Valdes-Scantling,27.0,GNB,WR,11.0,7.0,55.0,26.0,430.0,18.0,284.0,10.9,146.0,5.6,17.9,0.0,,0.0,0.0,1.0,84.7,
184.0,Jamaal Williams,26.0,DET,RB,13.0,11.0,28.0,26.0,157.0,6.0,1.0,0.0,156.0,6.0,0.4,1.0,26.0,1.0,3.6,0.0,90.0,
185.0,Rex Burkhead,31.0,HOU,RB,16.0,5.0,32.0,25.0,186.0,9.0,45.0,1.8,141.0,5.6,1.6,1.0,25.0,0.0,0.0,0.0,90.9,
186.0,Josiah Deguara,24.0,GNB,TE,16.0,2.0,33.0,25.0,245.0,9.0,41.0,1.6,204.0,8.2,3.5,1.0,25.0,2.0,6.1,1.0,103.7,
187.0,Chuba Hubbard,22.0,CAR,RB,17.0,10.0,37.0,25.0,174.0,8.0,14.0,0.6,160.0,6.4,0.4,3.0,8.3,7.0,18.9,1.0,75.7,
188.0,Demarcus Robinson,27.0,KAN,WR,17.0,10.0,41.0,25.0,264.0,13.0,202.0,8.1,62.0,2.5,10.4,0.0,,1.0,2.4,0.0,104.1,
189.0,Tajae Sharpe,27.0,ATL,WR,15.0,7.0,37.0,25.0,230.0,14.0,161.0,6.4,69.0,2.8,9.4,0.0,,1.0,2.7,0.0,84.3,
190.0,Freddie Swain,23.0,SEA,WR,17.0,8.0,40.0,25.0,343.0,12.0,137.0,5.5,206.0,8.2,8.1,0.0,,2.0,5.0,0.0,123.2,
191.0,Albert Wilson,29.0,MIA,WR,14.0,5.0,39.0,25.0,213.0,10.0,70.0,2.8,143.0,5.7,5.4,4.0,6.3,4.0,10.3,1.0,67.6,
192.0,Jamal Agnew,26.0,JAX,WR,10.0,2.0,39.0,24.0,229.0,14.0,108.0,4.5,121.0,5.0,7.4,0.0,,1.0,2.6,0.0,86.4,
193.0,Jordan Akins,29.0,HOU,TE,13.0,3.0,33.0,24.0,214.0,11.0,133.0,5.5,81.0,3.4,6.3,1.0,24.0,3.0,9.1,1.0,77.1,
194.0,Mo Alie-Cox,28.0,IND,TE,17.0,7.0,45.0,24.0,316.0,14.0,166.0,6.9,150.0,6.3,9.9,2.0,12.0,2.0,4.4,1.0,96.2,
195.0,Danny Amendola,36.0,HOU,WR,8.0,0.0,38.0,24.0,248.0,10.0,143.0,6.0,105.0,4.4,8.4,0.0,,1.0,2.6,2.0,86.3,
196.0,Tavon Austin,31.0,JAX,WR,13.0,3.0,37.0,24.0,213.0,11.0,154.0,6.4,59.0,2.5,8.9,1.0,24.0,2.0,5.4,3.0,55.3,
197.0,DeAndre Carter,28.0,WAS,WR,17.0,6.0,44.0,24.0,296.0,17.0,218.0,9.1,78.0,3.3,11.0,0.0,,2.0,4.5,2.0,79.4,
198.0,Rashard Higgins,27.0,CLE,WR,15.0,4.0,47.0,24.0,275.0,16.0,228.0,9.5,47.0,2.0,11.5,0.0,,3.0,6.4,1.0,67.2,
199.0,Jauan Jennings,24.0,SFO,WR,16.0,1.0,38.0,24.0,282.0,15.0,179.0,7.5,103.0,4.3,9.1,2.0,12.0,5.0,13.2,1.0,114.3,
200.0,James O'Shaughnessy,29.0,JAX,TE,7.0,6.0,34.0,24.0,244.0,10.0,130.0,5.4,114.0,4.8,6.6,2.0,12.0,3.0,8.8,0.0,90.8,
201.0,Henry Ruggs III,22.0,LVR,WR,7.0,7.0,36.0,24.0,469.0,16.0,360.0,15.0,109.0,4.5,16.9,3.0,8.0,2.0,5.6,0.0,128.2,
202.0,James Washington,25.0,PIT,WR,15.0,2.0,44.0,24.0,285.0,9.0,206.0,8.6,79.0,3.3,11.7,0.0,,2.0,4.5,1.0,80.2,
203.0,Giovani Bernard,30.0,TAM,RB,12.0,0.0,29.0,23.0,123.0,8.0,-11.0,-0.5,134.0,5.8,1.0,1.0,23.0,1.0,3.4,0.0,118.8,
204.0,Pharaoh Brown,27.0,HOU,TE,15.0,12.0,34.0,23.0,171.0,6.0,65.0,2.8,106.0,4.6,4.3,2.0,11.5,1.0,2.9,1.0,67.2,
205.0,Jamycal Hasty,25.0,SFO,RB,11.0,0.0,29.0,23.0,157.0,7.0,29.0,1.3,128.0,5.6,2.4,2.0,11.5,1.0,3.4,0.0,89.2,
206.0,T.Y. Hilton,32.0,IND,WR,10.0,9.0,37.0,23.0,331.0,15.0,260.0,11.3,71.0,3.1,12.2,0.0,,1.0,2.7,0.0,118.2,
207.0,Marcedes Lewis,37.0,GNB,TE,17.0,17.0,28.0,23.0,214.0,10.0,70.0,3.0,144.0,6.3,3.7,5.0,4.6,0.0,0.0,0.0,98.5,
208.0,Zack Moss,24.0,BUF,RB,13.0,0.0,32.0,23.0,197.0,12.0,-3.0,-0.1,200.0,8.7,0.8,2.0,11.5,3.0,9.4,1.0,85.0,
209.0,Chris Conley,29.0,HOU,WR,16.0,10.0,37.0,22.0,323.0,15.0,197.0,9.0,126.0,5.7,9.1,3.0,7.3,2.0,5.4,1.0,94.8,
210.0,Kareem Hunt,26.0,CLE,RB,8.0,1.0,27.0,22.0,174.0,10.0,2.0,0.1,172.0,7.8,0.1,0.0,,1.0,3.7,0.0,93.5,
211.0,Justin Jackson,25.0,LAC,RB,14.0,2.0,25.0,22.0,178.0,8.0,13.0,0.6,165.0,7.5,0.8,1.0,22.0,2.0,8.0,0.0,96.3,
212.0,Harrison Bryant,23.0,CLE,TE,16.0,3.0,28.0,21.0,233.0,14.0,154.0,7.3,79.0,3.8,9.3,0.0,,1.0,3.6,2.0,105.2,
213.0,DeeJay Dallas,23.0,SEA,RB,17.0,0.0,23.0,21.0,133.0,4.0,23.0,1.1,110.0,5.2,1.7,1.0,21.0,1.0,4.3,0.0,90.8,
214.0,Will Dissly,25.0,SEA,TE,15.0,14.0,26.0,21.0,231.0,11.0,88.0,4.2,143.0,6.8,4.3,2.0,10.5,3.0,11.5,0.0,116.5,
215.0,Sony Michel,26.0,LAR,RB,17.0,7.0,33.0,21.0,128.0,6.0,-5.0,-0.2,133.0,6.3,-0.4,3.0,7.0,3.0,9.1,1.0,68.7,
216.0,Chris Moore,28.0,HOU,WR,12.0,1.0,22.0,21.0,227.0,6.0,77.0,3.7,150.0,7.1,4.1,1.0,21.0,0.0,0.0,0.0,140.0,
217.0,John Bates,24.0,WAS,TE,17.0,8.0,25.0,20.0,249.0,11.0,110.0,5.5,139.0,7.0,6.0,2.0,10.0,0.0,0.0,1.0,104.8,
218.0,Nick Chubb,26.0,CLE,RB,14.0,14.0,25.0,20.0,174.0,9.0,2.0,0.1,172.0,8.6,1.0,4.0,5.0,0.0,0.0,0.0,109.0,PB
219.0,Marquise Goodwin,31.0,CHI,WR,14.0,2.0,40.0,20.0,313.0,12.0,230.0,11.5,83.0,4.2,11.9,0.0,,2.0,5.0,1.0,74.3,
220.0,Brevin Jordan,21.0,HOU,TE,9.0,2.0,28.0,20.0,178.0,10.0,79.0,4.0,99.0,5.0,5.7,1.0,20.0,1.0,3.6,0.0,123.8,
221.0,Isaiah McKenzie,26.0,BUF,WR,15.0,2.0,26.0,20.0,178.0,13.0,97.0,4.9,81.0,4.1,6.0,1.0,20.0,3.0,11.5,0.0,107.5,
222.0,Donald Parham,24.0,LAC,TE,14.0,9.0,27.0,20.0,190.0,13.0,55.0,2.8,135.0,6.8,4.6,2.0,10.0,2.0,7.4,0.0,130.2,
223.0,Tommy Tremble,21.0,CAR,TE,16.0,11.0,35.0,20.0,180.0,10.0,110.0,5.5,70.0,3.5,8.2,0.0,,2.0,5.7,0.0,80.7,
224.0,DeSean Jackson,35.0,2TM,WR,16.0,4.0,34.0,20.0,454.0,12.0,279.0,14.0,175.0,8.8,19.0,0.0,,1.0,2.9,2.0,98.3,
224.0,DeSean Jackson,35.0,LAR,WR,7.0,0.0,15.0,8.0,221.0,4.0,117.0,14.6,104.0,13.0,23.1,0.0,,0.0,0.0,1.0,93.1,
224.0,DeSean Jackson,35.0,LVR,WR,9.0,4.0,19.0,12.0,233.0,8.0,162.0,13.5,71.0,5.9,15.8,0.0,,1.0,5.3,1.0,101.4,
225.0,Clyde Edwards-Helaire,22.0,KAN,RB,10.0,10.0,23.0,19.0,129.0,8.0,-40.0,-2.1,169.0,8.9,-2.3,0.0,,1.0,4.3,1.0,100.9,
226.0,Zach Gentry,25.0,PIT,TE,17.0,12.0,25.0,19.0,167.0,11.0,40.0,2.1,127.0,6.7,3.0,1.0,19.0,0.0,0.0,0.0,93.2,
227.0,Dontrell Hilliard,26.0,TEN,RB,8.0,5.0,26.0,19.0,87.0,7.0,-21.0,-1.1,108.0,5.7,-0.9,0.0,,3.0,11.5,1.0,60.9,
228.0,D'Ernest Johnson,25.0,CLE,RB,17.0,2.0,25.0,19.0,137.0,7.0,-1.0,-0.1,138.0,7.3,0.2,4.0,4.8,3.0,12.0,0.0,88.2,
229.0,Elijah Mitchell,23.0,SFO,RB,11.0,10.0,20.0,19.0,137.0,6.0,-14.0,-0.7,151.0,7.9,-0.6,1.0,19.0,1.0,5.0,0.0,111.9,
230.0,Antoine Wesley,24.0,ARI,WR,15.0,4.0,32.0,19.0,208.0,9.0,147.0,7.7,61.0,3.2,10.5,0.0,,1.0,3.1,1.0,96.9,
231.0,Demetric Felton,23.0,CLE,WR,16.0,2.0,21.0,18.0,181.0,10.0,-20.0,-1.1,201.0,11.2,0.4,2.0,9.0,1.0,4.8,0.0,134.3,
232.0,Damien Harris,24.0,NWE,RB,15.0,15.0,21.0,18.0,132.0,4.0,-2.0,-0.1,134.0,7.4,-0.3,1.0,18.0,0.0,0.0,0.0,92.9,
233.0,Derrick Henry,27.0,TEN,RB,8.0,8.0,20.0,18.0,154.0,7.0,-6.0,-0.3,160.0,8.9,-0.2,1.0,18.0,0.0,0.0,0.0,98.7,
234.0,Ian Thomas,25.0,CAR,TE,17.0,13.0,30.0,18.0,188.0,6.0,96.0,5.3,92.0,5.1,6.2,1.0,18.0,4.0,13.3,3.0,38.6,
235.0,Logan Thomas,30.0,WAS,TE,6.0,6.0,25.0,18.0,196.0,10.0,114.0,6.3,82.0,4.6,9.4,1.0,18.0,0.0,0.0,1.0,117.7,
236.0,Robert Tonyan,27.0,GNB,TE,8.0,5.0,29.0,18.0,204.0,10.0,94.0,5.2,110.0,6.1,8.8,0.0,,0.0,0.0,0.0,106.1,
237.0,Brandon Zylstra,28.0,CAR,WR,13.0,3.0,25.0,18.0,250.0,10.0,132.0,7.3,118.0,6.6,10.5,1.0,18.0,0.0,0.0,0.0,117.1,
238.0,C.J. Ham,28.0,MIN,FB,17.0,8.0,18.0,17.0,125.0,6.0,64.0,3.8,61.0,3.6,3.7,1.0,17.0,0.0,0.0,0.0,95.6,
239.0,Terrace Marshall Jr.,21.0,CAR,WR,13.0,3.0,30.0,17.0,138.0,7.0,77.0,4.5,61.0,3.6,7.1,1.0,17.0,0.0,0.0,2.0,40.7,
240.0,Stephen Anderson,28.0,LAC,TE,17.0,4.0,19.0,16.0,165.0,9.0,36.0,2.3,129.0,8.1,3.5,0.0,,0.0,0.0,1.0,98.5,
241.0,Noah Brown,25.0,DAL,WR,13.0,1.0,25.0,16.0,184.0,6.0,116.0,7.3,68.0,4.3,9.1,1.0,16.0,1.0,4.0,0.0,86.1,
242.0,Travis Homer,23.0,SEA,RB,14.0,0.0,20.0,16.0,161.0,8.0,33.0,2.1,128.0,8.0,2.4,3.0,5.3,1.0,5.0,1.0,79.4,
243.0,Tyler Kroft,29.0,NYJ,TE,9.0,6.0,25.0,16.0,173.0,9.0,99.0,6.2,74.0,4.6,5.8,1.0,16.0,4.0,16.0,0.0,97.6,
244.0,Ty Montgomery,28.0,NOR,WR,14.0,3.0,26.0,16.0,95.0,5.0,8.0,0.5,87.0,5.4,1.8,0.0,,2.0,7.7,0.0,68.6,
245.0,James Proche,25.0,BAL,WR,14.0,0.0,20.0,16.0,202.0,10.0,147.0,9.2,55.0,3.4,9.6,0.0,,0.0,0.0,1.0,87.9,
246.0,Damien Williams,29.0,CHI,RB,12.0,2.0,23.0,16.0,103.0,3.0,-6.0,-0.4,109.0,6.8,1.8,3.0,5.3,0.0,0.0,0.0,93.2,
247.0,Maxx Williams,27.0,ARI,TE,5.0,5.0,17.0,16.0,193.0,9.0,68.0,4.3,125.0,7.8,5.3,1.0,16.0,0.0,0.0,0.0,133.6,
248.0,Quintez Cephus,23.0,DET,WR,5.0,3.0,22.0,15.0,204.0,9.0,109.0,7.3,95.0,6.3,11.4,2.0,7.5,0.0,0.0,0.0,127.8,
249.0,Chris Evans,24.0,CIN,RB,14.0,1.0,17.0,15.0,151.0,6.0,38.0,2.5,113.0,7.5,2.9,3.0,5.0,0.0,0.0,0.0,142.9,
250.0,Kendall Hinton,24.0,DEN,WR,16.0,1.0,23.0,15.0,175.0,10.0,118.0,7.9,57.0,3.8,8.0,1.0,15.0,1.0,4.3,1.0,84.5,
251.0,Mohamed Sanu,32.0,SFO,WR,8.0,0.0,24.0,15.0,177.0,12.0,133.0,8.9,44.0,2.9,9.5,0.0,,1.0,4.2,0.0,84.9,
252.0,Cam Sims,25.0,WAS,WR,14.0,3.0,23.0,15.0,211.0,11.0,169.0,11.3,42.0,2.8,11.7,1.0,15.0,1.0,4.3,1.0,105.5,
253.0,JuJu Smith-Schuster,25.0,PIT,WR,5.0,5.0,28.0,15.0,129.0,6.0,61.0,4.1,68.0,4.5,6.5,3.0,5.0,0.0,0.0,1.0,51.0,
254.0,Jimmy Graham,35.0,CHI,TE,15.0,6.0,23.0,14.0,167.0,10.0,112.0,8.0,55.0,3.9,8.0,0.0,,1.0,4.3,0.0,122.6,
255.0,Khalil Herbert,23.0,CHI,RB,17.0,2.0,16.0,14.0,96.0,6.0,-5.0,-0.4,101.0,7.2,-0.3,1.0,14.0,1.0,6.3,0.0,91.7,
256.0,Mack Hollins,28.0,MIA,WR,17.0,3.0,28.0,14.0,223.0,11.0,186.0,13.3,37.0,2.6,15.3,0.0,,1.0,3.6,1.0,101.6,
257.0,O.J. Howard,27.0,TAM,TE,17.0,9.0,21.0,14.0,135.0,10.0,52.0,3.7,83.0,5.9,6.5,1.0,14.0,0.0,0.0,0.0,100.3,
258.0,MyCole Pruitt,29.0,TEN,TE,16.0,9.0,18.0,14.0,145.0,10.0,86.0,6.1,59.0,4.2,6.6,0.0,,0.0,0.0,1.0,116.7,
259.0,Rhamondre Stevenson,23.0,NWE,RB,12.0,2.0,18.0,14.0,123.0,3.0,-22.0,-1.6,145.0,10.4,-0.3,5.0,2.8,1.0,5.6,0.0,95.1,
260.0,Ashton Dulin,24.0,IND,WR,17.0,1.0,22.0,13.0,173.0,9.0,123.0,9.5,50.0,3.8,13.8,0.0,,2.0,9.1,0.0,114.4,AP-2
261.0,KhaDarel Hodge,26.0,DET,WR,16.0,1.0,27.0,13.0,157.0,7.0,120.0,9.2,37.0,2.8,11.3,0.0,,2.0,7.4,2.0,35.6,
262.0,Lil'Jordan Humphrey,23.0,NOR,WR,10.0,4.0,18.0,13.0,249.0,9.0,148.0,11.4,101.0,7.8,10.7,1.0,13.0,0.0,0.0,1.0,128.2,
263.0,Juwan Johnson,25.0,NOR,WR,14.0,2.0,22.0,13.0,159.0,12.0,117.0,9.0,42.0,3.2,10.9,0.0,,1.0,4.5,1.0,102.1,
264.0,Jerick McKinnon,29.0,KAN,RB,13.0,0.0,20.0,13.0,107.0,6.0,-18.0,-1.4,125.0,9.6,-0.5,2.0,6.5,1.0,5.0,0.0,95.2,
265.0,Dare Ogunbowale,27.0,JAX,RB,17.0,2.0,21.0,13.0,114.0,3.0,14.0,1.1,100.0,7.7,1.5,0.0,,3.0,14.3,0.0,92.2,
266.0,Boston Scott,26.0,PHI,RB,16.0,4.0,16.0,13.0,83.0,3.0,-13.0,-1.0,96.0,7.4,-0.6,0.0,,0.0,0.0,1.0,62.2,
267.0,Salvon Ahmed,23.0,MIA,RB,12.0,0.0,19.0,12.0,117.0,4.0,4.0,0.3,113.0,9.4,2.7,1.0,12.0,4.0,21.1,0.0,80.4,
268.0,Dyami Brown,22.0,WAS,WR,15.0,6.0,25.0,12.0,165.0,6.0,131.0,10.9,34.0,2.8,15.2,1.0,12.0,1.0,4.0,0.0,69.6,
269.0,Eric Ebron,28.0,PIT,TE,8.0,3.0,18.0,12.0,84.0,6.0,63.0,5.3,21.0,1.8,6.4,0.0,,1.0,5.6,0.0,95.6,
270.0,Isaiah Ford,25.0,MIA,WR,13.0,2.0,17.0,12.0,161.0,7.0,101.0,8.4,60.0,5.0,8.1,1.0,12.0,0.0,0.0,0.0,139.6,
271.0,N'Keal Harry,24.0,NWE,WR,12.0,4.0,22.0,12.0,184.0,7.0,159.0,13.3,25.0,2.1,14.9,0.0,,1.0,4.5,1.0,63.4,
272.0,Carlos Hyde,31.0,JAX,RB,12.0,2.0,21.0,12.0,65.0,1.0,-10.0,-0.8,75.0,6.3,1.5,0.0,,1.0,4.8,0.0,62.6,
