ranker,team,g,rushtd,rectd,prtd,krtd,frtd,ditd,otd,alltd,two_pt_md,two_pt_att,def_two_pt,xpm,xpa,fgm,fga,safety_md,scoring,points_per_g,season
1,Los Angeles Rams,16,19,20,,,1.0,3.0,,43,1.0,1,,38,42,24,30,1.0,372,23.3,2020
2,Baltimore Ravens,16,24,27,,1.0,3.0,,,55,2.0,2,,52,53,26,29,2.0,468,29.3,2020
3,Pittsburgh Steelers,16,12,35,,,,3.0,,50,2.0,5,,41,45,23,24,1.0,416,26.0,2020
4,Washington Football Team,16,18,16,,,1.0,2.0,,37,,5,,30,32,27,34,1.0,335,20.9,2020
5,New Orleans Saints,16,30,28,,,,1.0,,59,,1,,57,58,23,28,1.0,482,30.1,2020
6,Miami Dolphins,16,15,24,1.0,,2.0,,,42,4.0,6,,36,36,36,39,,404,25.3,2020
7,New England Patriots,16,20,12,1.0,,1.0,1.0,1.0,36,1.0,3,,30,33,26,28,,326,20.4,2020
8,Tampa Bay Buccaneers,16,16,42,,,,1.0,,59,,2,,52,57,28,31,1.0,492,30.8,2020
9,New York Giants,16,13,12,,,1.0,1.0,,27,2.0,4,,21,23,31,32,,280,17.5,2020
10,Indianapolis Colts,16,20,24,,1.0,,4.0,1.0,50,3.0,5,,43,45,32,37,3.0,451,28.2,2020
11,Kansas City Chiefs,16,13,40,1.0,1.0,,2.0,,57,3.0,3,,48,54,25,27,1.0,473,29.6,2020
12,Arizona Cardinals,16,22,27,,,,,,49,,3,,45,46,23,30,1.0,410,25.6,2020
13,Green Bay Packers,16,16,48,,,1.0,1.0,,66,2.0,3,,59,63,16,16,1.0,509,31.8,2020
14,Chicago Bears,16,12,26,,1.0,1.0,,,40,2.0,3,,36,37,30,32,1.0,372,23.3,2020
15,Seattle Seahawks,16,15,40,,,,,,55,1.0,2,,49,53,24,24,3.0,459,28.7,2020
16,Buffalo Bills,16,16,40,1.0,,1.0,2.0,,60,,1,,57,59,28,34,,501,31.3,2020
17,San Francisco 49ers,16,19,25,,,,1.0,,45,1.0,4,,38,40,22,26,,376,23.5,2020
18,Carolina Panthers,16,19,16,,,3.0,,,38,1.0,2,,33,36,29,36,,350,21.9,2020
19,Atlanta Falcons,16,13,27,,,,1.0,,41,1.0,3,,34,38,38,40,,396,24.8,2020
20,Philadelphia Eagles,16,16,22,1.0,,2.0,1.0,,42,7.0,16,,24,26,14,19,1.0,334,20.9,2020
21,Cleveland Browns,16,21,27,,,,2.0,,50,2.0,2,,43,48,19,24,2.0,408,25.5,2020
22,Cincinnati Bengals,16,13,19,,1.0,,,,33,,0,,32,33,27,34,,311,19.4,2020
23,Los Angeles Chargers,16,12,31,,,,2.0,,45,2.0,5,,36,39,24,33,1.0,384,24.0,2020
24,Tennessee Titans,16,26,33,,1.0,2.0,,,62,4.0,7,,51,53,20,28,,491,30.7,2020
25,Denver Broncos,16,13,21,1.0,,,,,35,2.0,5,,25,30,28,35,,323,20.2,2020
26,New York Jets,16,9,16,,,,1.0,,26,1.0,2,,20,24,21,28,1.0,243,15.2,2020
27,Houston Texans,16,10,33,,,,1.0,,44,1.0,4,,37,40,27,31,,384,24.0,2020
28,Dallas Cowboys,16,14,25,,1.0,2.0,,,42,4.0,6,,33,36,34,41,,395,24.7,2020
29,Minnesota Vikings,16,20,35,,,,,,55,8.0,12,,37,43,15,22,1.0,430,26.9,2020
30,Las Vegas Raiders,16,20,28,,,,,,48,1.0,1,,45,47,33,35,,434,27.1,2020
31,Jacksonville Jaguars,16,9,25,1.0,,,1.0,1.0,37,3.0,9,,24,28,18,25,,306,19.1,2020
32,Detroit Lions,16,17,27,1.0,,,,,45,2.0,4,,38,41,21,28,1.0,377,23.6,2020
