feature,importance,importance_pct,cumsum_pct
imp_p_home_novig,0.09180626509739519,9.180626509739518,9.180626509739518
delta_hurries_made_season_avg,0.038899521830161696,3.8899521830161694,13.070578692755689
delta_opp_first_downs_pen_season_avg,0.03744036527961914,3.7440365279619137,16.814615220717602
delta_hurries_allowed_season_avg,0.03473452384500683,3.4734523845006833,20.288067605218284
close_spread_home,0.03452269508306673,3.4522695083066735,23.74033711352496
delta_points_for_ema8,0.03246492268080499,3.246492268080499,26.98682938160546
delta_yards_per_play_allowed_season_avg,0.0194748671346779,1.94748671346779,28.93431609507325
delta_opp_first_downs_pass_season_avg,0.018913455674196472,1.891345567419647,30.825661662492898
delta_penalty_yards_season_avg,0.01813521017178508,1.813521017178508,32.63918267967141
delta_opp_4d_conv_season_avg,0.016375098185869727,1.6375098185869728,34.276692498258384
delta_sacks_allowed_ema8,0.013822334670057203,1.3822334670057204,35.6589259652641
delta_rush_ypa_vol8,0.013140116713299397,1.3140116713299397,36.97293763659405
delta_pressures_made_season_avg,0.009134077430398582,0.9134077430398582,37.8863453796339
delta_rush_yds_vol8,0.00887993405037388,0.887993405037388,38.77433878467129
delta_opp_first_downs_season_avg,0.008627295384672926,0.8627295384672926,39.637068323138585
delta_punt_yards_recent_ratio,0.007806694017137219,0.7806694017137219,40.41773772485231
delta_turnovers_give_season_avg,0.007646501934238467,0.7646501934238467,41.182387918276156
delta_ints_thrown_season_avg,0.007569480926906405,0.7569480926906405,41.9393360109668
delta_turnovers_give_ema8,0.007440254350611252,0.7440254350611252,42.683361446027924
delta_punt_yards_season_avg,0.006954435952773322,0.6954435952773322,43.378805041305256
delta_ints_thrown_ema8,0.006797264969396494,0.6797264969396495,44.05853153824491
delta_hurries_made_pre8,0.006493330633723402,0.6493330633723402,44.707864601617246
delta_points_against_ema8,0.00645365591057639,0.645365591057639,45.353230192674886
delta_opp_3d_att_vol8,0.006443335031497152,0.6443335031497152,45.9975636958246
delta_opp_3d_att_recent_ratio,0.0059506359256843114,0.5950635925684311,46.59262728839303
delta_fumbles_lost_season_avg,0.005946471166070864,0.5946471166070864,47.18727440500012
delta_opp_first_downs_pen_vol8,0.005874377553817291,0.587437755381729,47.77471216038185
delta_blitzes_sent_pre8,0.005841728441690589,0.5841728441690589,48.358885004550906
delta_points_for_vol8,0.0056565410601809585,0.5656541060180958,48.924539110569
delta_yards_per_play_recent_ratio,0.005542432029118025,0.5542432029118025,49.4787823134808
delta_penalty_yards_vol8,0.005535507729352838,0.5535507729352838,50.03233308641608
delta_hurries_made_vol8,0.0054523349005808144,0.5452334900580814,50.57756657647416
delta_opp_first_downs_rush_vol8,0.005406010712559586,0.5406010712559586,51.118167647730125
delta_punt_yards_pre8,0.005404988776685165,0.5404988776685166,51.658666525398644
delta_rush_att_vol8,0.005239313533188678,0.5239313533188678,52.18259787871751
delta_pressures_allowed_recent_ratio,0.005035371242000402,0.5035371242000402,52.686135002917545
delta_yards_per_play_pre8,0.004969586609662905,0.4969586609662905,53.18309366388384
delta_rush_td_trend8,0.004949508880996466,0.4949508880996466,53.67804455198348
delta_hurries_made_ema8,0.004913358322759038,0.49133583227590377,54.16938038425939
delta_sacks_allowed_recent_ratio,0.004792951513907725,0.47929515139077244,54.648675535650156
delta_points_for_season_avg,0.004788558054381751,0.4788558054381751,55.12753134108833
delta_rush_yds_ema8,0.004709744265537424,0.4709744265537424,55.59850576764207
delta_sacks_allowed_pre8,0.004612825882764024,0.46128258827640245,56.05978835591847
delta_fumbles_lost_trend8,0.004581182530435997,0.45811825304359965,56.51790660896208
delta_penalty_yards_pre8,0.0045627014786885425,0.4562701478688542,56.97417675683093
delta_penalty_yards_ema8,0.00452470751963074,0.45247075196307396,57.426647508794005
delta_punt_yards_trend8,0.004493300879943891,0.44933008799438906,57.875977596788395
delta_penalties_recent_ratio,0.004311885612200964,0.4311885612200964,58.30716615800849
delta_punts_recent_ratio,0.004285075709323562,0.4285075709323562,58.73567372894085
delta_rush_ypa_season_avg,0.004251450386970285,0.4251450386970285,59.16081876763788
delta_opp_3d_pct_vol8,0.004220474619153567,0.4220474619153567,59.58286622955323
delta_punt_yards_per_punt_ema8,0.004215777001880482,0.42157770018804824,60.00444392974128
delta_opp_first_downs_rush_recent_ratio,0.004075422918304222,0.40754229183042223,60.4119862215717
delta_points_for_pre8,0.004037062806009784,0.4037062806009784,60.81569250217268
delta_ints_got_trend8,0.00400416851326298,0.40041685132629795,61.21610935349898
delta_points_against_vol8,0.003934810816700058,0.3934810816700058,61.60959043516899
delta_seconds_per_play_recent_ratio,0.003913722993511228,0.3913722993511228,62.000962734520115
delta_hurries_allowed_recent_ratio,0.003906961915155981,0.3906961915155981,62.39165892603571
delta_seconds_per_play_vol8,0.003886787952091537,0.3886787952091537,62.78033772124486
delta_blitzes_sent_recent_ratio,0.003858985874681828,0.3858985874681828,63.16623630871304
delta_pressures_allowed_vol8,0.0038461748087247538,0.3846174808724754,63.55085378958552
delta_blitzes_faced_ema8,0.0038076446672771704,0.380764466727717,63.93161825631323
delta_rush_yds_pre8,0.003784786126025908,0.3784786126025908,64.31009686891582
delta_punts_blocked_ema8,0.0037405878843709177,0.3740587884370918,64.68415565735292
delta_rush_ypa_ema8,0.0036642940785732857,0.3664294078573286,65.05058506521024
delta_yards_per_play_allowed_vol8,0.0036492128198913013,0.36492128198913015,65.41550634719937
delta_fumbles_recovered_trend8,0.00363849656392706,0.363849656392706,65.77935600359207
delta_points_for_recent_ratio,0.003601784920517791,0.3601784920517791,66.13953449564384
